f-1000000001,2024-04-06,Johnn,101,2024-04-06,199999.0,NEW,
f-1000000002,2024-04-07,Mary,1000000002,2024-04-07,12000.0,PROCESSING,
f-1000000003,2024-04-08,Jessie,1230000015,2024-04-08,15000.0,DONE,
f-1000000004,2024-04-09,James,1236,2024-04-09,8000.0,NEW,
f-1000000005,2024-04-10,Jamal,1237,2024-04-10,9000.0,PROCESSING,
f-1000000006,2024-04-11,Mathew,1238,2024-04-11,7000.0,DONE,
f-1000000007,2024-04-12,Michael,1239,2024-04-12,11000.0,NEW,
f-1000000008,2024-04-13,Miguel,1240,2024-04-13,13000.0,PROCESSING,
f-1000000009,2024-04-14,William,1241,2024-04-14,14000.0,DONE,
f-1000000010,2024-04-15,The Anh,1242,2024-04-15,10000.0,NEW,
f-1000000011,2024-04-16,Bob,1243,2024-04-16,12000.0,PROCESSING,
f-1000000012,2024-04-17,Jacob,1244,2024-04-17,15000.0,DONE,
f-1000000013,2024-04-18,Quang,1245,2024-04-18,8000.0,NEW,
f-1000000014,2024-04-19,Mohammed,1246,2024-04-19,9000.0,PROCESSING,
f-1000000015,2024-04-20,Valery,1230000015,2024-04-20,7000.0,DONE,
f-1000000016,2024-04-06,Jack,1000000017,2024-04-06,100000.0,NEW,
f-1000000016,2024-04-06,Johnny,1234567890,2024-04-06,10000.0,PROCESSING,
